text,duration,scenario,base,finetuned,wer_base,wer_ft,delta,auto_tags,category
आणखी असं काही नाही,1.571,Conversation,आणि खिल्ली असू द्या ना,आणखी असं काय नाही,1.25,0.25,-1.0,,
बर,0.853,Conversation,बरं बरं,बरं,2.0,1.0,-1.0,very short ref,
हा आणि डालडा,1.984,Conversation,हां आणि दाल टा,हां आणि डालडा,1.0,0.333,-0.667,,
हा भूमी चालते चालतंय,1.637,Conversation,हां बोलू चलते चालते,हां भूमी चालते चालते,1.0,0.5,-0.5,,
हा नमस्कार कशी आहेस,1.364,Conversation,हां नमस्कार कसे आहे,हां नमस्कार कशी आहेस,0.75,0.25,-0.5,,
ओके ओके,0.571,Conversation,हो हो हो हो,हो हो हो,2.0,1.5,-0.5,very short ref,
सूरज मी काय म्हणलं,1.141,Conversation,तू रजनी का म्हणलं,सुरज मी काय म्हणलं,0.75,0.25,-0.5,,
ओके सर,0.737,Conversation,अच्छा अच्छा,अच्छा सर,1.0,0.5,-0.5,very short ref,
दादा मॅडम तीनच साबण आहेत आपल्या इथं,2.207,Conversation,बघा मॅडम तीनच हवं ना तापलं आहे तर,बघा मॅडम तीनच हवं नाहीत आपल्या इथं,0.857,0.429,-0.429,,
हा सॉरी एकोणीसशे सत्त्याण्णव सर,1.791,Conversation,हां सॉरी एकोणीसशे सत्तर नुसार,हां सॉरी एकोणीसशे सत्त्याण्णव सर,0.6,0.2,-0.4,,
मुक्ताकाकू बोलाताय का,1.311,Conversation,विठ्ठल भाऊ का बोलाताय का,विट्टा काकू बोलाताय का,1.0,0.667,-0.333,,
अपयश हे वाईट नवे कधी कधी अपयशातून माणूस शिकतो कधी कधी येणारे यश हे माणसाला,10.077,Extempore,ह अपयश हे वाईट नव्हे कधीकधी अपयशातून माणूस शिकतो कधीकधी येणारे यश हे माणसाला,अपयश हे वाईट नव्हे कधी कधी अपयशातून माणूस शिकतो कधी कधी येणारे यश हे माणसाला,0.4,0.067,-0.333,,
हां,0.353,Extempore,हां,अवं चौती अवं चौती अवं चौती अवं चौती अवं,0.0,9.0,9.0,"very short ref, insertions/hallucination",
